league,season,team,players_used_,Age_,Poss_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,url_
GER-Bundesliga,2324,Augsburg,29,26.0,43.9,34,374,3060,34,49,35,84,44,5,7,71,3,46.1,40.7,27.7,68.4,462,1137,1.44,1.03,2.47,1.29,2.32,1.36,0.81,2.17,1.2,2.01,/en/squads/0cdc4311/2023-2024/Augsburg-Stats
GER-Bundesliga,2324,Bayern Munich,30,27.4,61.3,34,374,3060,34,93,71,164,88,5,5,47,2,85.2,81.3,65.9,147.3,944,1941,2.74,2.09,4.82,2.59,4.68,2.5,1.94,4.44,2.39,4.33,/en/squads/054efa67/2023-2024/Bayern-Munich-Stats
GER-Bundesliga,2324,Bochum,25,29.1,46.6,34,374,3060,34,41,30,71,37,4,4,97,2,44.5,41.4,30.4,71.8,400,1151,1.21,0.88,2.09,1.09,1.97,1.31,0.89,2.2,1.22,2.11,/en/squads/b42c6323/2023-2024/Bochum-Stats
GER-Bundesliga,2324,Darmstadt 98,32,27.1,45.7,34,374,3060,34,28,21,49,25,3,3,83,4,32.3,30.0,22.8,52.8,437,1083,0.82,0.62,1.44,0.74,1.35,0.95,0.67,1.62,0.88,1.55,/en/squads/6a6967fc/2023-2024/Darmstadt-98-Stats
GER-Bundesliga,2324,Dortmund,32,26.8,57.8,34,374,3060,34,68,49,117,62,6,6,59,4,63.5,58.8,45.6,104.4,770,1452,2.0,1.44,3.44,1.82,3.26,1.87,1.34,3.21,1.73,3.07,/en/squads/add600ae/2023-2024/Dortmund-Stats
GER-Bundesliga,2324,Eint Frankfurt,34,25.3,52.1,34,374,3060,34,48,36,84,46,2,3,70,5,46.2,44.4,34.1,78.5,574,1305,1.41,1.06,2.47,1.35,2.41,1.36,1.0,2.36,1.31,2.31,/en/squads/f0ac8ee6/2023-2024/Eintracht-Frankfurt-Stats
GER-Bundesliga,2324,Freiburg,25,27.0,46.6,34,374,3060,34,43,32,75,36,7,9,64,4,49.4,42.4,32.4,74.8,468,1208,1.26,0.94,2.21,1.06,2.0,1.45,0.95,2.41,1.25,2.2,/en/squads/a486e511/2023-2024/Freiburg-Stats
GER-Bundesliga,2324,Gladbach,27,25.4,46.8,34,374,3060,34,55,43,98,50,5,6,66,2,46.5,41.8,35.5,77.4,598,1227,1.62,1.26,2.88,1.47,2.74,1.37,1.05,2.41,1.23,2.28,/en/squads/32f3ee20/2023-2024/Monchengladbach-Stats
GER-Bundesliga,2324,Heidenheim,22,26.7,42.5,34,374,3060,34,46,34,80,44,2,3,54,1,39.4,37.0,27.5,64.5,510,983,1.35,1.0,2.35,1.29,2.29,1.16,0.81,1.97,1.09,1.9,/en/squads/18d9d2a7/2023-2024/Heidenheim-Stats
GER-Bundesliga,2324,Hoffenheim,30,27.7,49.5,34,374,3060,34,65,47,112,59,6,6,86,5,53.6,49.0,39.9,88.9,538,1359,1.91,1.38,3.29,1.74,3.12,1.58,1.17,2.75,1.44,2.62,/en/squads/033ea6b8/2023-2024/Hoffenheim-Stats
GER-Bundesliga,2324,Köln,26,25.4,46.5,34,374,3060,34,28,17,45,23,5,6,71,4,39.3,34.7,27.2,61.9,618,1086,0.82,0.5,1.32,0.68,1.18,1.16,0.8,1.96,1.02,1.82,/en/squads/bc357bf7/2023-2024/Koln-Stats
GER-Bundesliga,2324,Leverkusen,24,26.2,61.8,34,374,3060,34,87,71,158,79,8,8,59,0,73.6,67.6,55.2,122.8,888,1997,2.56,2.09,4.65,2.32,4.41,2.16,1.62,3.79,1.99,3.61,/en/squads/c7a9f859/2023-2024/Bayer-Leverkusen-Stats
GER-Bundesliga,2324,Mainz 05,30,26.7,46.1,34,374,3060,34,38,31,69,37,1,5,99,3,44.6,40.7,32.0,72.7,480,1169,1.12,0.91,2.03,1.09,2.0,1.31,0.94,2.25,1.2,2.14,/en/squads/a224b06a/2023-2024/Mainz-05-Stats
GER-Bundesliga,2324,RB Leipzig,26,25.6,55.3,34,374,3060,34,74,53,127,70,4,7,61,1,65.6,60.2,47.7,107.9,714,1541,2.18,1.56,3.74,2.06,3.62,1.93,1.4,3.33,1.77,3.17,/en/squads/acbb6a5b/2023-2024/RB-Leipzig-Stats
GER-Bundesliga,2324,Stuttgart,27,25.0,59.9,34,374,3060,34,78,60,138,73,5,8,56,1,70.9,64.6,53.3,117.9,693,1618,2.29,1.76,4.06,2.15,3.91,2.08,1.57,3.65,1.9,3.47,/en/squads/598bc722/2023-2024/Stuttgart-Stats
GER-Bundesliga,2324,Union Berlin,30,28.1,42.9,34,374,3060,34,33,23,56,30,3,6,67,7,40.1,35.3,25.0,60.3,389,1146,0.97,0.68,1.65,0.88,1.56,1.18,0.74,1.91,1.04,1.77,/en/squads/7a41008f/2023-2024/Union-Berlin-Stats
GER-Bundesliga,2324,Werder Bremen,30,27.0,46.8,34,374,3060,34,45,33,78,40,5,6,73,2,46.9,42.0,35.6,77.6,492,1172,1.32,0.97,2.29,1.18,2.15,1.38,1.05,2.43,1.24,2.28,/en/squads/62add3bf/2023-2024/Werder-Bremen-Stats
GER-Bundesliga,2324,Wolfsburg,28,25.6,48.0,34,374,3060,34,41,27,68,39,2,3,86,5,39.2,36.7,28.5,65.2,441,1235,1.21,0.79,2.0,1.15,1.94,1.15,0.84,1.99,1.08,1.92,/en/squads/4eaa11d7/2023-2024/Wolfsburg-Stats
