league,season,team,players_used_,90s_,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,url_
ESP-La Liga,2526,Alavés,23,15,12,166,47,28.3,11.07,3.13,0.05,0.17,18.7,2,4,4,15.9,12.9,0.08,-3.9,-4.9,/en/squads/8d6fd021/Alaves-Stats
ESP-La Liga,2526,Athletic Club,25,16,14,204,60,29.4,12.75,3.75,0.05,0.18,17.2,1,3,3,21.1,18.7,0.09,-7.1,-7.7,/en/squads/2b390eca/Athletic-Club-Stats
ESP-La Liga,2526,Atlético Madrid,23,16,25,207,87,42.0,12.94,5.44,0.11,0.26,16.6,5,2,3,27.2,25.1,0.13,-2.2,-2.1,/en/squads/db3b9613/Atletico-Madrid-Stats
ESP-La Liga,2526,Barcelona,25,16,46,310,117,37.7,19.37,7.31,0.14,0.37,17.9,11,3,5,36.4,32.6,0.11,9.6,10.4,/en/squads/206d90db/Barcelona-Stats
ESP-La Liga,2526,Betis,26,15,24,222,69,31.1,14.8,4.6,0.1,0.33,17.8,6,1,1,22.2,21.4,0.1,1.8,1.6,/en/squads/fc536746/Real-Betis-Stats
ESP-La Liga,2526,Celta Vigo,25,15,18,162,56,34.6,10.8,3.73,0.1,0.29,18.7,3,2,2,18.1,16.6,0.1,-0.1,-0.6,/en/squads/f25da7fb/Celta-Vigo-Stats
ESP-La Liga,2526,Elche,27,15,18,166,61,36.7,11.07,4.07,0.11,0.3,16.7,3,0,1,17.1,16.3,0.1,0.9,1.7,/en/squads/6c8b07df/Elche-Stats
ESP-La Liga,2526,Espanyol,22,15,19,194,61,31.4,12.93,4.07,0.08,0.26,17.7,6,3,4,23.4,20.2,0.11,-4.4,-4.2,/en/squads/a8661628/Espanyol-Stats
ESP-La Liga,2526,Getafe,24,15,13,138,38,27.5,9.2,2.53,0.09,0.34,19.2,4,0,0,10.5,10.5,0.08,2.5,2.5,/en/squads/7848bd64/Getafe-Stats
ESP-La Liga,2526,Girona,29,16,15,151,56,37.1,9.44,3.5,0.08,0.21,18.2,4,3,3,17.5,15.3,0.1,-2.5,-3.3,/en/squads/9024a00a/Girona-Stats
ESP-La Liga,2526,Levante,25,15,16,153,49,32.0,10.2,3.27,0.1,0.31,17.7,5,1,2,19.2,17.8,0.12,-3.2,-2.8,/en/squads/9800b6a1/Levante-Stats
ESP-La Liga,2526,Mallorca,25,15,15,156,52,33.3,10.4,3.47,0.08,0.25,18.2,4,2,2,14.5,12.9,0.08,0.5,0.1,/en/squads/2aa12281/Mallorca-Stats
ESP-La Liga,2526,Osasuna,21,15,14,156,49,31.4,10.4,3.27,0.08,0.24,17.0,6,2,3,16.4,14.0,0.09,-2.4,-2.0,/en/squads/03c57e2b/Osasuna-Stats
ESP-La Liga,2526,Oviedo,27,15,7,134,39,29.1,8.93,2.6,0.04,0.15,18.1,2,1,2,12.6,11.0,0.08,-5.6,-5.0,/en/squads/ab358912/Oviedo-Stats
ESP-La Liga,2526,Rayo Vallecano,24,15,13,188,57,30.3,12.53,3.8,0.06,0.21,19.4,6,1,2,20.4,18.8,0.1,-7.4,-6.8,/en/squads/98e8af82/Rayo-Vallecano-Stats
ESP-La Liga,2526,Real Madrid,23,16,32,311,107,34.4,19.44,6.69,0.09,0.25,18.5,9,5,7,37.8,32.3,0.11,-5.8,-5.3,/en/squads/53a2f082/Real-Madrid-Stats
ESP-La Liga,2526,Real Sociedad,27,16,20,211,71,33.6,13.19,4.44,0.08,0.24,17.6,7,3,3,21.3,18.9,0.09,-1.3,-1.9,/en/squads/e31d1cd9/Real-Sociedad-Stats
ESP-La Liga,2526,Sevilla,31,15,17,158,44,27.8,10.53,2.93,0.09,0.34,17.7,3,2,2,13.6,12.3,0.08,3.4,2.7,/en/squads/ad2be733/Sevilla-Stats
ESP-La Liga,2526,Valencia,21,15,14,159,42,26.4,10.6,2.8,0.09,0.33,17.5,8,0,1,15.7,14.9,0.1,-1.7,-0.9,/en/squads/dcc91a7b/Valencia-Stats
ESP-La Liga,2526,Villarreal,26,15,31,198,74,37.4,13.2,4.93,0.15,0.41,16.4,2,1,1,24.9,24.1,0.13,6.1,5.9,/en/squads/2a8183b3/Villarreal-Stats
