league,season,team,players_used_,90s_,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,url_
GER-Bundesliga,2526,Augsburg,22,12,15,148,47,31.8,12.33,3.92,0.09,0.3,18.5,6,1,1,13.4,12.6,0.09,1.6,1.4,/en/squads/0cdc4311/Augsburg-Stats
GER-Bundesliga,2526,Bayern Munich,22,12,43,226,89,39.4,18.83,7.42,0.17,0.44,17.1,5,4,4,32.0,29.0,0.13,11.0,10.0,/en/squads/054efa67/Bayern-Munich-Stats
GER-Bundesliga,2526,Dortmund,23,12,21,149,52,34.9,12.42,4.33,0.13,0.38,16.5,2,1,2,18.9,17.3,0.12,2.1,2.7,/en/squads/add600ae/Dortmund-Stats
GER-Bundesliga,2526,Eint Frankfurt,22,11,27,144,53,36.8,13.09,4.82,0.18,0.49,16.6,2,1,1,17.4,16.6,0.12,9.6,9.4,/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats
GER-Bundesliga,2526,Freiburg,23,11,14,118,34,28.8,10.73,3.09,0.09,0.32,16.9,5,3,3,13.7,11.4,0.1,0.3,-0.4,/en/squads/a486e511/Freiburg-Stats
GER-Bundesliga,2526,Gladbach,24,12,16,136,50,36.8,11.33,4.17,0.1,0.28,17.2,2,2,4,16.6,13.5,0.1,-0.6,0.5,/en/squads/32f3ee20/Monchengladbach-Stats
GER-Bundesliga,2526,Hamburger SV,25,11,9,150,50,33.3,13.64,4.55,0.06,0.18,16.5,4,0,1,13.7,12.9,0.09,-4.7,-3.9,/en/squads/26790c6a/Hamburger-SV-Stats
GER-Bundesliga,2526,Heidenheim,25,12,10,124,40,32.3,10.33,3.33,0.08,0.25,17.3,6,0,0,13.1,13.1,0.11,-3.1,-3.1,/en/squads/18d9d2a7/Heidenheim-Stats
GER-Bundesliga,2526,Hoffenheim,21,12,23,163,54,33.1,13.58,4.5,0.13,0.39,16.1,5,2,2,19.9,18.3,0.11,3.1,2.7,/en/squads/033ea6b8/Hoffenheim-Stats
GER-Bundesliga,2526,Köln,22,12,21,158,48,30.4,13.17,4.0,0.13,0.42,17.0,7,1,1,18.1,17.3,0.11,2.9,2.7,/en/squads/bc357bf7/Koln-Stats
GER-Bundesliga,2526,Leverkusen,25,12,28,162,54,33.3,13.5,4.5,0.15,0.46,18.5,9,3,3,20.8,18.4,0.12,7.2,6.6,/en/squads/c7a9f859/Bayer-Leverkusen-Stats
GER-Bundesliga,2526,Mainz 05,23,11,11,132,25,18.9,12.0,2.27,0.06,0.32,15.5,3,3,3,14.4,12.1,0.09,-3.4,-4.1,/en/squads/a224b06a/Mainz-05-Stats
GER-Bundesliga,2526,RB Leipzig,25,12,21,200,68,34.0,16.67,5.67,0.11,0.31,16.9,8,0,1,21.9,21.1,0.11,-0.9,-0.1,/en/squads/acbb6a5b/RB-Leipzig-Stats
GER-Bundesliga,2526,St. Pauli,19,12,10,138,41,29.7,11.5,3.42,0.07,0.22,19.6,4,1,2,11.0,9.4,0.07,-1.0,-0.4,/en/squads/54864664/St-Pauli-Stats
GER-Bundesliga,2526,Stuttgart,24,11,20,169,60,35.5,15.36,5.45,0.11,0.3,18.0,2,2,3,16.8,14.4,0.09,3.2,3.6,/en/squads/598bc722/Stuttgart-Stats
GER-Bundesliga,2526,Union Berlin,19,12,15,138,38,27.5,11.5,3.17,0.11,0.39,16.3,1,0,1,12.9,12.2,0.09,2.1,2.8,/en/squads/7a41008f/Union-Berlin-Stats
GER-Bundesliga,2526,Werder Bremen,23,12,16,151,53,35.1,12.58,4.42,0.09,0.26,18.5,5,2,3,15.5,13.1,0.09,0.5,0.9,/en/squads/62add3bf/Werder-Bremen-Stats
GER-Bundesliga,2526,Wolfsburg,25,11,13,141,46,32.6,12.82,4.18,0.09,0.26,17.7,4,1,1,14.7,13.9,0.1,-1.7,-1.9,/en/squads/4eaa11d7/Wolfsburg-Stats
